state,zip5,lat_lon,population,adi_median
CA,92612,"(33.660018, -117.824428)",27522,14.0
CT,06883,"(41.2274128, -73.3670614)",10179,3.0
MD,21740,"(39.6319007, -77.7438858)",61859,62.0
CA,94709,"(37.8782913, -122.2662521)",11806,7.0
IL,60462,"(41.6268516, -87.8406149)",38723,35.0
NY,14052,"(42.772531, -78.5843214)",17329,38.0
MD,21204,"(39.4063886, -76.6260724)",20253,19.0
MN,55127,"(45.0815716, -93.0769281)",16782,35.0
CA,92840,"(33.7871648, -117.9318894)",54083,14.0
CA,95206,"(37.9084709, -121.3953057)",65004,65.0
CA,95356,"(37.7185727, -121.0323086)",30918,28.0
NJ,08066,"(39.8351735, -75.2335318)",8437,84.0
CO,80207,"(39.7613846, -104.9166957)",21216,27.0
IL,61550,"(40.6114233, -89.4363779)",17721,55.0
CT,06770,"(41.4886491, -73.0517512)",31975,46.0
CA,90220,"(33.8797798, -118.2296785)",49328,30.0
MN,56482,"(46.4642844, -95.1476943)",6666,79.0
KS,67455,"(39.0285281, -98.162663)",1980,94.0
NJ,10965,"(41.0615606, -74.0078322)",14791,13.5
CA,92683,"(33.7524286, -117.9938721)",89747,10.0
CA,93550,"(34.4103344, -118.0599568)",74929,44.0
NY,11716,"(40.7770107, -73.1350895)",10700,17.0
NY,11419,"(40.6886125, -73.8230616)",47211,11.0
IL,60634,"(41.9461885, -87.8061174)",74298,38.0
IL,61275,"(41.6055751, -90.3070479)",4347,41.0
WA,98520,"(46.9885769, -123.8285234)",23814,75.0
NY,14624,"(43.1282998, -77.7314114)",36296,62.0
CA,93704,"(36.8003098, -119.8009064)",27156,39.0
CT,06119,"(41.7635209, -72.7271133)",15474,32.0
CA,95050,"(37.3504312, -121.9524053)",35923,3.0
WA,99208,"(47.7858147, -117.4523477)",49193,46.0
OR,97317,"(44.902416, -122.9062918)",24355,46.0
CA,90005,"(34.0593736, -118.3089617)",37681,13.0
IL,60133,"(41.9778424, -88.1431991)",38103,45.0
CA,95821,"(38.625693, -121.3849162)",33550,40.0
NY,14546,"(43.032728, -77.7801101)",4695,59.0
MN,56001,"(44.1281694, -93.9789906)",46327,58.0
CA,90065,"(34.1095946, -118.2286887)",45527,7.0
CT,06269,"(41.8089384, -72.2516171)",9844,33.0
MN,55114,"(44.9666903, -93.1950724)",3100,37.0
CA,94502,"(37.7381003, -122.2412503)",13600,4.0
CA,92404,"(34.1786334, -117.2389262)",58271,42.0
NY,10980,"(41.2392335, -74.0562605)",13383,18.0
CO,80210,"(39.6766258, -104.9623152)",33946,10.0
CA,92509,"(34.0032665, -117.4420038)",75196,27.0
MN,55317,"(44.8567105, -93.5505668)",19218,24.0
CA,94618,"(37.844821, -122.2385523)",16046,2.0
MA,02072,"(42.119006, -71.1036499)",26999,31.0
NJ,07305,"(40.6930039, -74.0696505)",60104,45.0
CA,94601,"(37.776862, -122.2179095)",50294,24.0
CA,90250,"(33.9136508, -118.350946)",93193,15.0
CA,92007,"(33.0230461, -117.2755809)",10429,1.0
CO,80918,"(38.9103931, -104.7803619)",45467,40.0
NM,87121,"(35.0170458, -106.8883078)",76721,72.0
NV,89156,"(36.1590324, -114.9817416)",27794,57.0
NY,14526,"(43.1514642, -77.4443955)",19804,50.0
CA,92562,"(33.5312401, -117.3439986)",62079,17.0
IL,60521,"(41.8006825, -87.9281725)",17597,2.0
DE,19966,"(38.579422, -75.277196)",24601,60.0
CA,95350,"(37.6717296, -121.0072847)",51046,39.0
MA,02343,"(42.1403459, -70.9978612)",10745,23.0
MA,01524,"(42.2460288, -71.9175657)",6696,34.0
CA,91351,"(34.4337272, -118.4580608)",32362,46.0
CA,93555,"(35.5823838, -117.6835971)",32560,54.0
CA,90680,"(33.8011385, -117.9953251)",29945,19.0
OR,97266,"(45.4829668, -122.5576188)",33300,40.0
MN,55410,"(44.9133446, -93.3169422)",19340,15.0
CT,06615,"(41.1630269, -73.1281081)",18453,37.0
CA,94102,"(37.7795621, -122.4192928)",31176,3.0
NY,10710,"(40.969635, -73.845691)",25120,20.0
WA,99337,"(46.0520071, -119.0984948)",29845,41.0
IL,60093,"(42.1040665, -87.7539334)",19570,9.0
NY,11372,"(40.7517193, -73.8836703)",66636,24.0
NY,13440,"(43.2179387, -75.4591914)",42986,75.0
MN,55401,"(44.985367, -93.270208)",6590,19.0
IL,60030,"(42.3356353, -88.0467818)",36056,28.0
NJ,08401,"(39.377297, -74.4510821)",39554,69.0
CO,80120,"(39.5938356, -105.0114595)",28435,20.0
NY,11001,"(40.7233167, -73.7049494)",26883,10.0
CA,93101,"(34.4192588, -119.7080491)",31683,4.0
MN,55422,"(45.0092748, -93.3411048)",27820,41.0
IL,60160,"(41.9034912, -87.8617696)",25432,53.0
IL,60447,"(41.4872388, -88.3221656)",13709,42.0
IL,60561,"(41.7456625, -87.981494)",23115,25.0
CA,91780,"(34.1015089, -118.0558587)",34332,7.0
WA,99206,"(47.6276499, -117.2546066)",34802,52.0
CT,06108,"(41.780375, -72.6239448)",24307,63.0
MA,01835,"(42.7513275, -71.0944211)",13682,31.0
CA,92078,"(33.1170652, -117.1808072)",42906,20.0
KS,66061,"(38.8937552, -94.8799681)",55805,43.0
NY,11357,"(40.7851288, -73.8100365)",39150,6.0
CA,95409,"(38.4684996, -122.5821228)",27187,9.0
MD,21047,"(39.5269415, -76.4380785)",11873,17.0
CA,94503,"(38.1877978, -122.2238259)",19681,10.0
NJ,07762,"(40.1534087, -74.0337315)",8403,14.0
CO,80013,"(39.6614611, -104.7657627)",69588,32.0
MD,20866,"(39.1092797, -76.9339476)",13344,22.0
CO,80015,"(39.6280555, -104.7932543)",62432,24.0
MD,21211,"(39.3287457, -76.6392811)",17351,38.0
CA,95004,"(36.8747551, -121.6307316)",3918,7.0
NJ,08902,"(40.4415131, -74.4912136)",41153,27.0
IL,61008,"(42.245929, -88.8398588)",34311,69.0
CA,94608,"(37.8368441, -122.2891434)",28019,9.0
MA,02045,"(42.2858696, -70.879517)",10293,18.0
CA,93662,"(36.5365732, -119.6386513)",30237,51.0
MD,21218,"(39.3301071, -76.6014512)",49796,57.0
NJ,07701,"(40.3605089, -74.0789521)",23813,16.0
CA,90020,"(34.0663822, -118.3098315)",38967,14.0
CA,90018,"(34.028632, -118.3173467)",49310,13.0
OR,97103,"(46.1333399, -123.6989655)",16859,39.0
CA,90277,"(33.8300058, -118.3871239)",35293,2.0
CA,92399,"(34.0323124, -117.010577)",52606,35.0
IL,62521,"(39.8101698, -88.9277838)",35851,73.0
NJ,08619,"(40.2423005, -74.6964078)",22723,32.0
MD,21228,"(39.2728571, -76.7477405)",47577,29.0
NV,89122,"(36.1039655, -115.0378255)",45720,62.0
NJ,08094,"(39.6506006, -74.9593112)",39940,37.0
CT,06340,"(41.354409, -72.040266)",31242,62.0
WA,98109,"(47.6305825, -122.3455956)",20715,9.0
KS,67204,"(37.7624965, -97.358547)",21194,79.0
IL,62040,"(38.7149276, -90.0989304)",43735,85.0
IL,62321,"(40.409716, -91.0954316)",4091,77.0
NY,13607,"(44.3318316, -75.9095065)",1822,27.0
MD,21231,"(39.2885065, -76.5920238)",15748,20.0
CA,92679,"(33.6494382, -117.561405)",32611,3.0
NY,12092,"(42.7059384, -74.379565)",1304,64.0
NY,12550,"(41.5395739, -74.0572227)",54447,52.0
CT,06437,"(41.3317772, -72.696816)",22375,15.0
CA,93023,"(34.5090947, -119.2519103)",20589,9.0
NY,14882,"(42.5856252, -76.579264)",3826,23.0
WA,98106,"(47.5440342, -122.3498743)",22873,16.0
CT,06333,"(41.386032, -72.2290922)",6607,14.0
CA,95608,"(38.6269352, -121.3311908)",59418,24.0
NM,87047,"(35.2508464, -106.2887715)",4894,35.0
NY,11102,"(40.7716, -73.9256033)",34133,9.0
IL,61073,"(42.4237521, -88.9938881)",20052,53.0
CA,95212,"(38.049939, -121.2329698)",25239,19.0
IL,60441,"(41.5930486, -88.051567)",36869,33.0
NY,14206,"(42.8808102, -78.8101559)",20751,94.0
CA,95476,"(38.2558418, -122.4609085)",35394,3.0
MA,02601,"(41.6611607, -70.2931965)",14089,39.0
IL,60803,"(41.6740639, -87.7362222)",22285,55.0
DE,19956,"(38.5476448, -75.5381863)",15500,55.0
CO,80226,"(39.7101311, -105.0921271)",30930,21.0
NM,87532,"(35.9897513, -106.1256303)",18223,68.0
CA,92376,"(34.1105366, -117.3800214)",81516,36.0
NY,14821,"(42.2415736, -77.2192536)",3314,84.0
IL,61554,"(40.5436232, -89.6206208)",43810,76.0
NY,10458,"(40.8624859, -73.8864478)",79492,26.0
CO,80919,"(38.9298524, -104.8788213)",27398,22.0
CA,92508,"(33.8903978, -117.3282409)",35000,14.0
OR,97223,"(45.4402905, -122.7766044)",46699,20.0
MA,02301,"(42.0783714, -71.0423041)",61025,37.0
OR,97478,"(44.0891223, -122.8422781)",37011,45.0
CO,81503,"(39.0340256, -108.4865982)",15250,56.0
NV,89147,"(36.1128916, -115.2798705)",49778,40.0
CT,06447,"(41.636439, -72.4540018)",6404,23.0
CA,95630,"(38.662781, -121.140107)",72180,13.0
WA,98296,"(47.840783, -122.1010844)",27956,10.0
NJ,08618,"(40.2493401, -74.7899681)",38229,54.0
CT,06023,"(41.6125917, -72.7200932)",1296,34.0
CA,92025,"(33.0778135, -117.0331309)",49978,25.0
MA,02025,"(42.2364441, -70.8143089)",7542,4.0
CA,92071,"(32.8506855, -116.995314)",53422,15.0
OR,97838,"(45.8509743, -119.287822)",25346,67.0
CA,94112,"(37.7205458, -122.4431663)",79407,5.0
MN,55439,"(44.8735508, -93.3730484)",8750,22.0
CO,80528,"(40.4990027, -105.0050512)",17946,17.0
NY,12182,"(42.8005335, -73.6274339)",14733,76.0
OR,97306,"(44.8429038, -123.0947509)",27360,34.0
NJ,08004,"(39.7553331, -74.8305115)",12350,47.0
MN,55976,"(43.8638141, -92.4840396)",7582,54.0
CA,91304,"(34.2277906, -118.6446066)",50231,14.0
NY,11040,"(40.7453467, -73.6802919)",40782,9.0
MD,20794,"(39.1514751, -76.7947026)",14098,24.0
MN,55442,"(45.0489203, -93.4262115)",13217,24.0
CA,92345,"(34.3609721, -117.3130389)",78715,44.0
CA,95610,"(38.6949226, -121.2722073)",44147,30.0
CA,94002,"(37.5134466, -122.2968238)",25992,2.0
MD,20748,"(38.8148678, -76.933447)",38792,35.0
NY,10471,"(40.8999842, -73.9067506)",22922,33.0
CA,90640,"(34.0154437, -118.1110124)",62549,14.0
NJ,08057,"(39.9796575, -74.9413079)",21090,18.0
MN,55308,"(45.4137034, -93.835316)",9064,36.0
IL,62644,"(40.2854185, -90.0618978)",5385,87.0
NY,11771,"(40.87373, -73.5252996)",10007,8.0
IL,61064,"(41.9893058, -89.5872492)",3868,80.0
WA,98055,"(47.4474725, -122.2003559)",21904,22.0
NY,10923,"(41.2031162, -74.0027182)",8732,35.0
WA,99301,"(46.3778349, -118.9517259)",68191,45.0
CA,90712,"(33.849034, -118.1479023)",31499,11.0
CO,80010,"(39.7392505, -104.8617098)",39728,47.0
IL,60420,"(41.0876486, -88.4208945)",6102,68.0
NJ,08863,"(40.5372376, -74.3122221)",12320,29.0
MA,02169,"(42.2400156, -71.0152045)",55055,21.0
NY,11214,"(40.5996903, -73.9963717)",88630,7.0
CA,94941,"(37.9247747, -122.6001828)",30496,1.0
NY,11581,"(40.651028, -73.7153252)",20844,16.0
ME,04090,"(43.3314321, -70.6455859)",9589,42.0
IL,60409,"(41.6136412, -87.5521219)",37186,85.0
IL,60487,"(41.5638369, -87.8303491)",26928,23.0
RI,02812,"(41.4777124, -71.658167)",1497,26.0
CT,06483,"(41.3854655, -73.0836408)",16540,40.0
RI,02809,"(41.6757303, -71.273331)",22938,27.0
NY,10605,"(41.010566, -73.7451293)",18126,8.0
NY,12788,"(41.7951012, -74.5908964)",2908,61.0
MA,02645,"(41.7012864, -70.0616629)",9663,22.0
WA,98367,"(47.462142, -122.6662086)",27693,27.0
WA,98837,"(47.1469929, -119.3159085)",39722,58.0
WA,98042,"(47.3640093, -122.1167433)",43673,18.0
VT,05676,"(44.2991838, -72.8472315)",4984,37.0
NJ,07103,"(40.7388525, -74.1952638)",32698,52.0
CA,95116,"(37.3504713, -121.8525538)",51496,11.0
NY,11429,"(40.7095558, -73.7384796)",25105,17.0
NJ,07059,"(40.6345884, -74.5190442)",15311,6.0
WA,98601,"(45.9383729, -122.4378553)",2982,23.0
WA,98007,"(47.6138254, -122.1443652)",24889,9.0
IL,62223,"(38.5359226, -90.0594773)",17560,73.0
CA,95340,"(37.3400869, -120.4064058)",33931,45.0
CA,94401,"(37.5751719, -122.3198815)",34429,5.0
CA,92283,"(32.8915458, -114.772943)",3158,94.0
CA,95938,"(39.6047133, -121.795288)",3787,8.0
WA,98513,"(46.9933704, -122.7332205)",31975,35.0
NY,13346,"(42.8207851, -75.5463928)",6735,69.0
IL,60302,"(41.8947716, -87.7898251)",32108,31.0
MA,02109,"(42.3669188, -71.0504161)",3771,2.0
CA,92879,"(33.8826137, -117.5282048)",46745,22.0
MA,02360,"(41.8820616, -70.6312893)",56271,20.0
MN,56572,"(46.6052358, -96.084155)",5454,81.0
NH,03844,"(42.9248106, -70.8862417)",2238,12.0
CT,06037,"(41.605451, -72.7784967)",18565,30.0
CO,80123,"(39.6160105, -105.0694488)",44795,21.0
NJ,08820,"(40.5768059, -74.36575)",39590,10.0
CA,91042,"(34.3155031, -118.2648469)",27585,14.0
NY,11413,"(40.6711705, -73.7520631)",38912,15.0
CA,91040,"(34.2576958, -118.3384551)",20372,12.0
MN,55446,"(45.0391396, -93.4897008)",18695,16.0
NJ,08321,"(39.223596, -75.143169)",247,71.0
CA,91344,"(34.2894674, -118.5046992)",51747,10.0
MA,02145,"(42.3915769, -71.0899097)",25439,11.0
CA,92691,"(33.6119451, -117.6658668)",47582,7.0
CT,06084,"(41.8830194, -72.3588694)",15067,26.0
MA,02368,"(42.1789925, -71.052654)",32158,22.0
CO,80651,"(40.2417354, -104.8094099)",4176,38.0
IL,60074,"(42.1314623, -88.0263289)",38985,47.0
OR,97206,"(45.4815979, -122.5982949)",47596,25.0
NY,11364,"(40.7462507, -73.7560621)",34555,14.0
CO,81004,"(38.0440536, -104.71441)",25540,85.0
NJ,07631,"(40.8911966, -73.972515)",27119,33.0
NJ,07663,"(40.9030993, -74.0935906)",13659,27.0
NY,10573,"(41.0157419, -73.6773035)",38352,22.0
WA,98166,"(47.451576, -122.3529856)",20301,19.0
CA,94928,"(38.3459304, -122.6935071)",43170,19.0
KS,66002,"(39.5516596, -95.1403543)",13755,79.0
NJ,07083,"(40.6952664, -74.2690777)",53053,27.0
CT,06801,"(41.3697777, -73.3895032)",18581,36.0
CA,93257,"(35.9808583, -118.8893149)",75004,60.0
MN,55014,"(45.1683486, -93.1237524)",27274,32.0
CT,06511,"(41.3172698, -72.9263729)",53600,52.0
OR,97007,"(45.4428132, -122.8711552)",66954,21.0
CA,95388,"(37.4212988, -120.5995871)",13074,64.0
WA,98004,"(47.6183371, -122.205341)",27946,4.0
CA,94583,"(37.7716927, -121.9898294)",34859,5.0
CA,93723,"(36.7897564, -119.9525593)",9547,25.0
CA,94589,"(38.1414668, -122.2468701)",29876,26.0
NH,03053,"(42.868588, -71.3872474)",23957,29.0
NY,11434,"(40.6778566, -73.7770725)",59129,19.0
NY,11422,"(40.6607865, -73.7375702)",30425,15.0
CA,91732,"(34.0724071, -118.0145239)",61386,19.0
NH,03609,"(43.1439346, -72.4464482)",854,45.0
ME,04479,"(45.1242079, -69.2870578)",1343,80.0
WA,98445,"(47.1374273, -122.4047153)",29661,40.0
IL,60467,"(41.5977356, -87.8864957)",26046,23.0
NY,13901,"(42.1832033, -75.876048)",19773,86.0
CA,92113,"(32.694637, -117.1197565)",56066,29.0
CA,90021,"(34.029036, -118.2378702)",3951,17.0
IL,60098,"(42.3246455, -88.455561)",32228,51.0
MD,20814,"(39.0048389, -77.1030042)",27642,11.0
MA,02721,"(41.6744294, -71.1485315)",26290,45.0
MN,56364,"(46.0186537, -94.071943)",5416,51.0
NJ,08223,"(39.2695198, -74.6571181)",4125,26.0
NY,11782,"(40.7367292, -73.0799992)",15814,15.0
IL,60623,"(41.8471006, -87.7176112)",92108,72.0
NY,11967,"(40.8015657, -72.8780278)",26583,28.0
KS,66214,"(38.9635787, -94.7139655)",11691,55.0
NV,89138,"(36.202093, -115.3649994)",12118,7.0
NV,89110,"(36.1736534, -115.0554795)",70994,69.0
IL,62526,"(39.9016645, -88.9892484)",34075,87.0
NY,11219,"(40.6326198, -73.9967697)",92221,6.0
MN,55340,"(45.0782631, -93.5721177)",6327,8.0
IL,62999,"(37.869529, -89.056407)",1829,91.0
NY,11106,"(40.7622113, -73.9315281)",38875,6.0
NJ,07047,"(40.7936435, -74.0250269)",60773,24.0
CA,90723,"(33.8988835, -118.1666294)",54099,22.0
IL,61883,"(40.0349367, -87.6399182)",4438,86.0
NY,14103,"(43.2111611, -78.37677)",11183,88.0
IL,60469,"(41.6286972, -87.6863116)",5930,74.0
NH,03038,"(42.8927614, -71.2767629)",33269,36.0
CA,90046,"(34.1078099, -118.3622474)",48581,4.0
IL,61614,"(40.7591363, -89.6041228)",27628,61.0
CA,90265,"(34.0702448, -118.8510422)",18116,1.0
CA,92866,"(33.7845373, -117.8447912)",14885,9.0
MA,02138,"(42.3796372, -71.1351523)",36314,5.0
NV,89128,"(36.1967843, -115.2644058)",35669,49.0
NJ,08520,"(40.2581258, -74.5393095)",27869,38.0
MN,55113,"(45.0121956, -93.1511859)",38994,34.0
CA,90059,"(33.9274687, -118.2487959)",40952,26.0
MA,01801,"(42.4887033, -71.1543831)",38903,17.0
MN,56308,"(45.8676138, -95.3942566)",23961,50.0
NJ,07840,"(40.8600447, -74.8317948)",29849,35.0
IL,60112,"(41.9237324, -88.6902175)",4560,47.0
IL,60639,"(41.9205977, -87.755942)",90407,40.0
CA,92651,"(33.5714801, -117.7728894)",23881,1.0
MA,02367,"(41.9591, -70.8027525)",2820,19.0
NY,11768,"(40.9236305, -73.339309)",21902,9.0
IL,60419,"(41.6272714, -87.5983897)",22788,75.0
CA,95046,"(37.0993077, -121.5992405)",6417,3.0
CT,06614,"(41.2284774, -73.1290807)",32929,29.0
IL,60002,"(42.4671427, -88.0943387)",24299,48.0
MD,20784,"(38.9505489, -76.8917198)",29449,39.0
CA,94122,"(37.7604592, -122.483894)",56023,2.0
NJ,08003,"(39.885852, -74.9711455)",30629,22.0
WA,98606,"(45.7291975, -122.4560505)",9027,18.0
OR,97303,"(45.0303537, -123.0236886)",38663,40.0
MD,20720,"(38.9963755, -76.7834298)",21031,16.0
MN,55016,"(44.8167351, -92.9337298)",34204,34.0
NJ,07022,"(40.8211103, -74.0030322)",13835,28.5
MA,02763,"(41.9668655, -71.3085743)",1973,14.0
CA,93536,"(34.7376703, -118.3874244)",70918,29.0
MN,55404,"(44.9619133, -93.2613491)",27121,44.0
CA,95076,"(36.9457806, -121.7560577)",82474,14.0
CA,93244,"(36.38634, -118.9897151)",534,21.0
NY,14301,"(43.0970132, -79.0373222)",12817,99.0
MA,02346,"(41.8780043, -70.8692669)",23106,26.0
CA,90650,"(33.9077898, -118.0824874)",105549,19.0
IL,60189,"(41.8406447, -88.1220551)",30472,9.0
MN,56301,"(45.4870841, -94.2427766)",32434,52.0
NJ,08215,"(39.5901203, -74.581951)",13442,52.0
CA,93631,"(36.4800648, -119.517339)",15941,46.0
NY,12143,"(42.4915595, -73.84266)",5137,55.0
CA,96021,"(39.9234789, -122.2704539)",16097,65.0
MA,01902,"(42.4710392, -70.9415353)",45139,37.0
IL,62922,"(37.6207537, -88.8148074)",3119,84.0
NY,10003,"(40.7318645, -73.9891241)",56024,3.0
IL,62896,"(37.8926638, -88.9120755)",12626,94.0
NY,11206,"(40.7018701, -73.9425516)",81677,7.0
WA,98466,"(47.2289707, -122.5380539)",26944,29.0
MD,21838,"(38.0179048, -75.7379202)",1736,54.0
NV,89509,"(39.4973133, -119.8269257)",33395,26.0
CT,06033,"(41.7074627, -72.5389323)",28762,34.0
ME,04358,"(44.4144727, -69.5352715)",4276,47.0
NY,11354,"(40.7682126, -73.8273924)",54878,24.0
CA,91748,"(33.9782935, -117.9023171)",45406,13.0
CA,94901,"(37.980709, -122.5006058)",41157,5.0
CA,92122,"(32.8567981, -117.2101561)",43728,11.0
NY,10451,"(40.8221675, -73.9226159)",45713,44.0
CA,92504,"(33.9083525, -117.4013419)",53778,28.0
NY,10466,"(40.8909641, -73.8462394)",67813,17.0
CA,95963,"(39.7478323, -122.3033595)",15493,44.0
CA,92707,"(33.709935, -117.8704307)",59492,13.0
NM,79835,"(31.9356531, -106.5960888)",12690,31.0
CA,92346,"(34.1240486, -117.1775733)",54923,27.0
CA,95136,"(37.2713786, -121.8525124)",42989,6.0
CA,92831,"(33.8795102, -117.8960355)",34204,13.0
CA,95834,"(38.6352119, -121.5186075)",25899,21.0
MN,55343,"(44.9143724, -93.4162539)",23933,62.0
CA,94533,"(38.2807448, -122.0063799)",69277,33.0
CT,06851,"(41.1382333, -73.4015257)",26703,17.0
CA,90805,"(33.8646171, -118.1805667)",93524,24.0
CA,92805,"(33.830053, -117.9056831)",70401,17.0
WA,98032,"(47.3919421, -122.2571921)",33853,32.0
WA,98321,"(47.1526064, -122.0717385)",15152,21.0
NJ,08012,"(39.7838154, -75.0560675)",38992,50.0
IL,62340,"(39.734718, -90.7282378)",1715,78.0
NJ,07205,"(40.6958894, -74.2288001)",21398,39.0
MA,01604,"(42.2534854, -71.7679315)",34677,46.0
IL,60048,"(42.2926063, -87.9453173)",29095,13.0
IL,60005,"(42.0644715, -87.9866902)",29308,26.0
MA,02119,"(42.3240658, -71.0851879)",25346,21.0
KS,66619,"(38.9470795, -95.6901981)",3070,52.0
NJ,07063,"(40.6051185, -74.4445225)",13538,38.0
MA,02150,"(42.3968243, -71.0313479)",35124,28.0
CT,06787,"(41.6710799, -73.0850465)",7975,51.0
CA,93657,"(36.8168584, -119.4587018)",34999,52.0
NY,12804,"(43.3372953, -73.6826639)",26540,42.0
CA,95824,"(38.5174351, -121.4414397)",30221,64.0
NY,11010,"(40.7006528, -73.6751329)",23821,15.0
CA,91107,"(34.1590073, -118.0873527)",32940,5.0
NY,11553,"(40.7052719, -73.592328)",26034,25.0
NH,03101,"(42.9890272, -71.4661111)",3049,57.0
NJ,08629,"(40.2206437, -74.7312456)",12331,68.0
MN,55731,"(47.9968818, -91.753982)",5820,81.0
IL,62205,"(38.6027684, -90.1185611)",9329,97.0
NJ,08203,"(39.4217127, -74.3928726)",9454,28.0
MA,02043,"(42.2160985, -70.8812702)",22157,4.0
NV,89408,"(39.6708429, -119.0064086)",19626,72.0
CT,06604,"(41.1543798, -73.2109323)",30313,67.0
CA,94591,"(38.1271913, -122.196855)",53042,28.0
IL,60130,"(41.8670311, -87.8179345)",14167,30.0
MD,20874,"(39.1330557, -77.3018279)",57367,29.0
NJ,08832,"(40.5113987, -74.3184962)",2863,22.0
NY,11221,"(40.6914258, -73.9276256)",78895,5.0
NY,14224,"(42.8377589, -78.747821)",39889,57.0
NM,88021,"(31.9879388, -106.8036799)",18421,75.0
CA,91786,"(34.1052502, -117.6620703)",51165,24.0
CA,93291,"(36.391777, -119.3728419)",52849,37.0
MA,01590,"(42.1320512, -71.750318)",8875,19.0
NJ,07087,"(40.767224, -74.032429)",66515,30.0
NJ,07522,"(40.9235695, -74.1792251)",20883,56.0
KS,66212,"(38.9555653, -94.6798754)",32096,49.0
CA,90045,"(33.9423871, -118.4160617)",39480,4.0
CA,92843,"(33.7639661, -117.9315346)",45214,15.0
MD,20723,"(39.1376783, -76.8679423)",28972,21.0
NJ,08690,"(40.2258334, -74.6600956)",18567,23.0
CA,92880,"(33.9253898, -117.6072536)",58763,10.0
OR,97456,"(44.3433026, -123.3550004)",2985,36.0
MA,01821,"(42.5493295, -71.2517245)",30310,16.0
CA,90064,"(34.0353095, -118.4264862)",25403,6.0
NM,88047,"(32.2144142, -106.7155308)",1967,72.0
NJ,07044,"(40.832468, -74.2428627)",13584,13.0
DE,19804,"(39.7187601, -75.6218662)",17944,52.0
NJ,07712,"(40.2468946, -74.0545018)",39158,18.0
MA,01108,"(42.0829592, -72.5595133)",26688,59.0
NY,10310,"(40.6326122, -74.1161485)",24962,24.0
CA,92503,"(33.882884, -117.4517249)",84519,30.0
NJ,08807,"(40.5924342, -74.6188399)",37972,22.0
MN,55364,"(44.939325, -93.6758355)",14353,31.0
NY,10024,"(40.7856602, -73.9712689)",59283,1.0
NJ,08060,"(40.0100045, -74.7922069)",24713,45.0
CA,94551,"(37.7505118, -121.7492486)",36867,7.0
IL,61104,"(42.2517203, -89.0799449)",19269,98.0
MA,02061,"(42.1645688, -70.8188439)",10506,7.0
CA,94806,"(37.978427, -122.3364179)",59861,27.0
NY,10001,"(40.7506496, -73.9972929)",21102,1.0
KS,66052,"(39.0083484, -95.04558)",2031,62.0
CA,93103,"(34.437367, -119.679284)",20249,5.0
NY,13126,"(43.4387975, -76.457454)",37205,79.0
CA,92058,"(33.2639736, -117.3447773)",42436,24.0
KS,66401,"(38.9323671, -96.3096516)",1721,76.0
CA,93608,"(36.5049867, -120.3386638)",1114,74.0
CA,91935,"(32.6943442, -116.7755144)",8624,8.0
WA,98686,"(45.7233048, -122.6218703)",17385,26.0
CA,90019,"(34.0498412, -118.3384601)",64458,9.0
NY,10457,"(40.8457068, -73.8979229)",70496,27.0
IL,60097,"(42.3969753, -88.3724436)",11250,44.0
CA,94702,"(37.8663209, -122.2863481)",15979,6.0
NY,14504,"(42.9684318, -77.2326977)",1701,71.0
CA,92804,"(33.8180097, -117.9751925)",85914,13.0
MN,55345,"(44.9154425, -93.48443)",21147,21.0
WA,98011,"(47.7573522, -122.1986978)",29212,14.0
CA,91792,"(34.0225813, -117.9023585)",30854,12.0
NY,10162,"(40.7692674, -73.9497953)",1685,5.0
NY,10010,"(40.7390449, -73.9826162)",31834,1.0
CA,93422,"(35.465349, -120.6894388)",31375,15.0
DE,19945,"(38.4978939, -75.2290333)",6862,41.0
NJ,08043,"(39.8485702, -74.9528435)",29131,34.0
NH,03086,"(42.8322309, -71.7596147)",3728,45.0
CO,80233,"(39.8975359, -104.9439221)",45386,34.0
NJ,07017,"(40.7719176, -74.207082)",35945,47.0
MD,21769,"(39.4424641, -77.5689083)",11236,19.0
OR,97071,"(45.1341907, -122.8264874)",28803,47.0
CA,91741,"(34.1633629, -117.8341212)",25824,8.0
CA,92646,"(33.6610291, -117.9679484)",55224,6.0
NV,89044,"(35.9398698, -115.0562846)",14260,21.0
CA,91321,"(34.3637151, -118.4870386)",34882,18.0
NJ,07065,"(40.6071525, -74.2805307)",27346,36.0
CA,90280,"(33.9441585, -118.1927614)",94396,22.0
CA,93449,"(35.1609345, -120.6533416)",7657,6.0
NM,87801,"(33.9326133, -107.0738415)",10221,69.0
NM,87123,"(35.0613613, -106.4712298)",41468,62.0
MA,01119,"(42.1249785, -72.5112103)",14152,69.0
NV,89049,"(38.3909839, -116.3993148)",2727,83.0
NY,14580,"(43.2172825, -77.444534)",50587,53.0
NM,87544,"(35.7669656, -106.2950945)",17950,35.0
CA,95372,"(37.9912891, -120.2627906)",1963,32.0
CO,80521,"(40.5930826, -105.127429)",33409,30.0
CA,95928,"(39.6814875, -121.8372104)",36511,38.0
MA,02476,"(42.4164795, -71.1734865)",16532,7.0
NM,87102,"(35.082357, -106.6467678)",21204,61.0
MN,56544,"(46.7577864, -95.6054374)",5294,58.0
DE,19807,"(39.7965002, -75.6128401)",7405,8.0
ME,04345,"(44.1950908, -69.793771)",11646,61.0
WA,98541,"(47.0608498, -123.3898023)",10101,68.0
CA,92065,"(33.0403728, -116.830075)",35414,14.0
